TimeStep,SolarPower,GridPower,GridCost,ElectricityPrice,BatterySOC,BatteryChargerPowerNew,evSOC,IndoorTemperature,OutdoorTemperature,WaterTemperature,HVACPowerNew,WaterHeaterPowerNew,EVChargerPowerNew,DishwasherActive,WashMachineActive,ClothesDryerActive,TVActive,RefrigeratorActive,LightsActive,VacuumActive,HairDryerActive
25,2.14,2.56,0.102,0.04,100.00,0.0,0.0,18.7,21.4,54.8,0,4.5,0,0,0,0,0,1,0,0,0
26,2.14,2.56,0.102,0.04,100.00,0.0,0.0,18.8,21.4,56.2,0,4.5,0,0,0,0,0,1,0,0,0
27,2.14,-1.94,-0.070,0.04,100.00,0.0,0.0,18.9,21.4,57.5,0,0,0,0,0,0,0,1,0,0,0
28,1.03,3.67,0.184,0.05,100.00,0.0,0.0,18.9,20.8,54.1,0,4.5,0,0,0,0,0,1,0,0,0
29,1.03,1.27,0.064,0.05,100.00,-2.4,0.0,19.0,20.8,55.6,0,4.5,0,0,0,0,0,1,0,0,0
30,1.03,1.27,0.064,0.05,90.13,-2.4,0.0,19.1,20.8,57.0,0,4.5,0,0,0,0,0,1,0,0,0
31,1.03,-2.03,-0.091,0.05,80.26,-2.4,0.0,19.1,20.8,58.2,0,0,0,0,0,0,0,1,0,1,0
32,0.13,3.37,0.169,0.05,70.39,-2.4,0.0,19.2,17.7,54.8,0,4.5,0,0,0,0,0,1,0,1,0
33,0.13,3.37,0.169,0.05,60.53,-2.4,0.0,19.1,17.7,56.2,0,4.5,0,0,0,0,0,1,0,1,0
34,0.13,-2.33,-0.105,0.05,50.66,-2.4,0.0,19.1,17.7,57.5,0,0,0,0,0,0,0,1,0,0,0
35,0.13,2.17,0.109,0.05,40.79,-2.4,0.0,19.0,17.7,54.1,0,4.5,0,0,0,0,0,1,0,0,0
36,0,8.50,0.858,0.07,30.92,-2.4,35.0,19.0,15.3,55.6,0,4.5,6,0,0,0,0,1,1,0,0
37,0,8.50,0.858,0.07,21.05,-2.4,40.9,18.9,15.3,57.0,0,4.5,6,0,0,0,0,1,1,0,0
38,0,6.11,0.617,0.07,11.18,-0.3,46.9,18.8,15.3,58.2,0,0,6,0,0,0,0,1,1,0,0
39,0,13.30,1.343,0.07,10.00,2.4,52.8,18.6,15.3,54.8,0,4.5,6,0,0,0,0,1,1,0,0
40,0,8.73,0.756,0.06,18.91,-2.2,58.8,18.5,13.1,56.2,0,4.5,6,0,0,0,0,1,1,0,0
41,0,8.80,0.762,0.06,10.00,2.4,64.7,18.4,13.1,57.5,0,0,6,0,0,0,0,1,1,0,0
42,0,8.83,0.764,0.06,18.91,-2.2,70.6,18.2,13.1,54.1,0,4.5,6,0,0,0,1,1,1,0,0
